,CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount
0,50001,1,4.0,Mobile Phone,3,6.0,Single,3,Female,3.0,1.0,11.0,5.0,Laptop & Accessory,9,2,1,1.0,160
3,50004,1,3.0,PC,3,15.0,Single,4,Male,2.0,1.0,23.0,3.0,Laptop & Accessory,8,5,0,0.0,134
5,50006,1,3.0,Pad,1,22.0,Single,5,Female,3.0,6.0,22.0,7.0,Mobile Phone,2,5,1,4.0,139
11,50012,1,11.0,Mobile Phone,1,6.0,Single,4,Male,3.0,1.0,13.0,0.0,Fashion,10,3,1,0.0,154
12,50013,1,3.0,PC,1,11.0,Single,3,Male,2.0,2.0,13.0,2.0,Household,2,3,1,2.0,134
13,50014,1,3.0,PC,1,15.0,Divorced,4,Male,3.0,1.0,17.0,0.0,Household,1,3,1,0.0,134
14,50015,1,9.0,Mobile Phone,3,15.0,Single,4,Male,3.0,4.0,16.0,7.0,Fashion,2,2,0,0.0,196
17,50018,1,3.0,Mobile Phone,3,11.0,Single,4,Male,2.0,1.0,11.0,3.0,Laptop & Accessory,2,3,1,1.0,157
18,50019,1,3.0,Pad,1,13.0,Single,5,Male,3.0,1.0,24.0,6.0,Laptop & Accessory,2,3,1,1.0,161
19,50020,1,19.0,Mobile Phone,1,20.0,Divorced,3,Female,3.0,4.0,18.0,3.0,Mobile Phone,10,4,1,1.0,150
20,50021,1,3.0,Mobile Phone,3,12.0,Divorced,5,Male,3.0,7.0,18.0,7.0,Laptop & Accessory,5,3,1,6.0,162
21,50022,1,23.0,Mobile Phone,1,29.0,Divorced,3,Female,3.0,15.0,12.0,6.0,Fashion,2,2,0,11.0,203
23,50024,1,3.0,PC,3,26.0,Divorced,5,Female,3.0,2.0,11.0,2.0,Laptop & Accessory,4,3,1,1.0,146
24,50025,1,14.0,Pad,1,14.0,Single,5,Male,2.0,1.0,15.0,3.0,Fashion,3,2,0,0.0,207
25,50026,1,3.0,PC,1,15.0,Single,3,Female,2.0,1.0,22.0,4.0,Mobile Phone,8,5,0,1.0,142
26,50027,0,8.0,Mobile Phone,3,6.0,Divorced,3,Male,3.0,1.0,13.0,6.0,Fashion,2,4,0,1.0,173
29,50030,0,5.0,Pad,3,14.0,Single,3,Female,2.0,3.0,14.0,7.0,Fashion,2,2,0,2.0,190
30,50031,0,2.0,Pad,1,6.0,Divorced,3,Male,2.0,1.0,13.0,9.0,Laptop & Accessory,2,3,0,0.0,143
31,50032,0,3.0,Mobile Phone,1,13.0,Divorced,4,Male,2.0,1.0,17.0,0.0,Laptop & Accessory,3,3,0,1.0,161
32,50033,0,33.0,PC,1,15.0,Divorced,4,Female,3.0,1.0,20.0,0.0,Household,5,4,1,1.0,133
33,50034,0,13.0,Mobile Phone,3,10.0,Divorced,4,Male,3.0,2.0,11.0,11.0,Fashion,8,2,0,2.0,209
38,50039,0,33.0,Mobile Phone,1,30.0,Married,2,Male,2.0,1.0,16.0,4.0,Fashion,4,2,1,1.0,194
42,50043,0,3.0,Mobile Phone,3,11.0,Divorced,3,Female,2.0,7.0,12.0,4.0,Fashion,3,2,0,2.0,194
43,50044,0,11.0,Mobile Phone,3,6.0,Single,4,Female,2.0,1.0,22.0,1.0,Laptop & Accessory,5,2,0,1.0,187
49,50050,0,18.0,Mobile Phone,3,10.0,Married,3,Female,1.0,1.0,11.0,3.0,Laptop & Accessory,5,5,1,0.0,150
50,50051,0,29.0,PC,1,14.0,Married,3,Female,3.0,2.0,18.0,2.0,Mobile Phone,5,5,1,1.0,143
52,50053,1,3.0,Mobile Phone,1,8.0,Single,4,Male,2.0,1.0,22.0,0.0,Mobile Phone,2,2,0,0.0,111
53,50054,0,19.0,Mobile Phone,3,6.0,Married,3,Female,3.0,15.0,25.0,7.0,Fashion,2,5,0,4.0,205
55,50056,0,4.0,PC,1,18.0,Divorced,3,Female,3.0,1.0,23.0,2.0,Mobile Phone,9,2,1,1.0,139
58,50059,0,23.0,PC,1,6.0,Divorced,4,Male,2.0,1.0,15.0,2.0,Mobile Phone,3,3,0,0.0,137
59,50060,0,26.0,PC,1,19.0,Married,2,Female,2.0,1.0,11.0,3.0,Laptop & Accessory,2,5,0,1.0,145
63,50064,0,7.0,Pad,1,8.0,Divorced,4,Male,2.0,1.0,17.0,9.0,Laptop & Accessory,2,3,0,0.0,195
