,CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount,Cluster
0,50001.0,1.0,4.0,0.0,3.0,6.0,0.0,3.0,0.0,3.0,1.0,11.0,5.0,0.0,9.0,2.0,1.0,1.0,160.0,2
1,50002.0,1.0,8.0,1.0,1.0,8.0,0.0,4.0,1.0,3.0,1.0,15.0,0.0,1.0,7.0,3.0,1.0,0.0,121.0,2
2,50003.0,1.0,8.0,1.0,1.0,30.0,0.0,4.0,1.0,2.0,1.0,14.0,3.0,1.0,6.0,3.0,1.0,0.0,120.0,2
3,50004.0,1.0,3.0,1.0,3.0,15.0,0.0,4.0,1.0,2.0,1.0,23.0,3.0,0.0,8.0,5.0,0.0,0.0,134.0,2
4,50005.0,1.0,3.0,1.0,1.0,12.0,0.0,3.0,1.0,2.0,1.0,11.0,3.0,1.0,3.0,5.0,0.0,1.0,130.0,2
5,50006.0,1.0,3.0,2.0,1.0,22.0,0.0,5.0,0.0,3.0,6.0,22.0,7.0,2.0,2.0,5.0,1.0,4.0,139.0,2
6,50007.0,1.0,8.0,1.0,3.0,11.0,1.0,3.0,1.0,2.0,1.0,14.0,0.0,0.0,4.0,2.0,0.0,0.0,121.0,2
7,50008.0,1.0,8.0,1.0,1.0,6.0,1.0,3.0,1.0,3.0,2.0,16.0,0.0,1.0,3.0,2.0,1.0,2.0,123.0,2
8,50009.0,1.0,13.0,1.0,3.0,9.0,1.0,4.0,1.0,2.0,1.0,14.0,2.0,1.0,2.0,3.0,1.0,0.0,127.0,2
9,50010.0,1.0,8.0,1.0,1.0,31.0,0.0,5.0,1.0,2.0,1.0,12.0,1.0,1.0,2.0,3.0,0.0,1.0,123.0,2
10,50011.0,1.0,4.0,0.0,1.0,18.0,1.0,3.0,0.0,2.0,15.0,14.0,8.0,3.0,2.0,3.0,0.0,9.0,295.0,2
11,50012.0,1.0,11.0,0.0,1.0,6.0,0.0,4.0,1.0,3.0,1.0,13.0,0.0,4.0,10.0,3.0,1.0,0.0,154.0,2
12,50013.0,1.0,3.0,1.0,1.0,11.0,0.0,3.0,1.0,2.0,2.0,13.0,2.0,1.0,2.0,3.0,1.0,2.0,134.0,2
13,50014.0,1.0,3.0,1.0,1.0,15.0,1.0,4.0,1.0,3.0,1.0,17.0,0.0,1.0,1.0,3.0,1.0,0.0,134.0,2
14,50015.0,1.0,9.0,0.0,3.0,15.0,0.0,4.0,1.0,3.0,4.0,16.0,7.0,4.0,2.0,2.0,0.0,0.0,196.0,2
15,50016.0,1.0,8.0,1.0,2.0,12.0,2.0,3.0,1.0,3.0,1.0,22.0,2.0,1.0,5.0,5.0,1.0,1.0,121.0,2
16,50017.0,1.0,3.0,2.0,1.0,12.0,0.0,4.0,0.0,2.0,1.0,18.0,0.0,1.0,2.0,2.0,1.0,1.0,129.0,2
17,50018.0,1.0,3.0,0.0,3.0,11.0,0.0,4.0,1.0,2.0,1.0,11.0,3.0,0.0,2.0,3.0,1.0,1.0,157.0,2
18,50019.0,1.0,3.0,2.0,1.0,13.0,0.0,5.0,1.0,3.0,1.0,24.0,6.0,0.0,2.0,3.0,1.0,1.0,161.0,2
19,50020.0,1.0,19.0,0.0,1.0,20.0,1.0,3.0,0.0,3.0,4.0,18.0,3.0,2.0,10.0,4.0,1.0,1.0,150.0,2
20,50021.0,1.0,3.0,0.0,3.0,12.0,1.0,5.0,1.0,3.0,7.0,18.0,7.0,0.0,5.0,3.0,1.0,6.0,162.0,2
21,50022.0,1.0,23.0,0.0,1.0,29.0,1.0,3.0,0.0,3.0,15.0,12.0,6.0,4.0,2.0,2.0,0.0,11.0,203.0,2
22,50023.0,1.0,8.0,0.0,3.0,28.0,0.0,3.0,1.0,2.0,1.0,19.0,0.0,2.0,2.0,3.0,1.0,0.0,117.0,2
23,50024.0,1.0,3.0,1.0,3.0,26.0,1.0,5.0,0.0,3.0,2.0,11.0,2.0,0.0,4.0,3.0,1.0,1.0,146.0,2
24,50025.0,1.0,14.0,2.0,1.0,14.0,0.0,5.0,1.0,2.0,1.0,15.0,3.0,4.0,3.0,2.0,0.0,0.0,207.0,2
25,50026.0,1.0,3.0,1.0,1.0,15.0,0.0,3.0,0.0,2.0,1.0,22.0,4.0,2.0,8.0,5.0,0.0,1.0,142.0,2
26,50027.0,0.0,8.0,0.0,3.0,6.0,1.0,3.0,1.0,3.0,1.0,13.0,6.0,4.0,2.0,4.0,0.0,1.0,173.0,2
27,50028.0,0.0,8.0,1.0,3.0,12.0,1.0,3.0,1.0,2.0,4.0,20.0,5.0,0.0,3.0,3.0,1.0,0.0,123.0,2
28,50029.0,0.0,18.0,1.0,1.0,13.0,2.0,3.0,1.0,2.0,1.0,18.0,15.0,0.0,9.0,4.0,0.0,1.0,123.0,2
29,50030.0,0.0,5.0,2.0,3.0,14.0,0.0,3.0,0.0,2.0,3.0,14.0,7.0,4.0,2.0,2.0,0.0,2.0,190.0,2
30,50031.0,0.0,2.0,2.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,13.0,9.0,0.0,2.0,3.0,0.0,0.0,143.0,2
31,50032.0,0.0,3.0,0.0,1.0,13.0,1.0,4.0,1.0,2.0,1.0,17.0,0.0,0.0,3.0,3.0,0.0,1.0,161.0,2
32,50033.0,0.0,33.0,1.0,1.0,15.0,1.0,4.0,0.0,3.0,1.0,20.0,0.0,1.0,5.0,4.0,1.0,1.0,133.0,2
33,50034.0,0.0,13.0,0.0,3.0,10.0,1.0,4.0,1.0,3.0,2.0,11.0,11.0,4.0,8.0,2.0,0.0,2.0,209.0,2
34,50035.0,0.0,8.0,2.0,3.0,8.0,1.0,3.0,0.0,3.0,1.0,18.0,2.0,1.0,7.0,3.0,0.0,1.0,122.0,2
35,50036.0,0.0,3.0,1.0,1.0,13.0,1.0,3.0,1.0,3.0,2.0,24.0,2.0,1.0,2.0,2.0,0.0,0.0,123.0,2
36,50037.0,0.0,8.0,2.0,1.0,15.0,2.0,3.0,1.0,2.0,2.0,18.0,2.0,1.0,7.0,4.0,0.0,0.0,120.0,2
37,50038.0,0.0,1.0,1.0,1.0,27.0,1.0,3.0,1.0,2.0,1.0,11.0,2.0,1.0,2.0,2.0,0.0,0.0,127.0,2
38,50039.0,0.0,33.0,0.0,1.0,30.0,2.0,2.0,1.0,2.0,1.0,16.0,4.0,4.0,4.0,2.0,1.0,1.0,194.0,2
39,50040.0,0.0,3.0,2.0,1.0,13.0,2.0,4.0,1.0,3.0,1.0,15.0,1.0,1.0,2.0,3.0,1.0,0.0,126.0,2
40,50041.0,0.0,23.0,0.0,1.0,17.0,0.0,3.0,0.0,2.0,4.0,14.0,4.0,3.0,4.0,4.0,0.0,2.0,299.0,2
41,50042.0,0.0,14.0,1.0,1.0,13.0,2.0,3.0,1.0,2.0,1.0,12.0,8.0,1.0,5.0,3.0,0.0,1.0,125.0,2
42,50043.0,0.0,3.0,0.0,3.0,11.0,1.0,3.0,0.0,2.0,7.0,12.0,4.0,4.0,3.0,2.0,0.0,2.0,194.0,2
